ticker,logistic,boosting,lstm,xgboost
AAPL,0.5042857142857143,0.5214285714285715,0.5519610643386841,0.5271428571428571
MSFT,0.4928571428571429,0.4742857142857143,0.5370741486549377,0.5057142857142857
XOM,0.5157142857142857,0.48857142857142855,0.5545376539230347,0.5042857142857143
JPM,0.5042857142857143,0.48714285714285716,0.5585456490516663,0.49
UNH,0.5285714285714286,0.5028571428571429,0.5639851093292236,0.5271428571428571
WMT,0.53,0.5428571428571428,0.5611222386360168,0.5271428571428571
CAT,0.48857142857142855,0.5057142857142857,0.5528199076652527,0.49714285714285716
KO,0.5085714285714286,0.5228571428571429,0.5453764796257019,0.5285714285714286
BA,0.48857142857142855,0.5228571428571429,0.5459490418434143,0.48714285714285716
NVDA,0.49857142857142855,0.49,0.5419410467147827,0.4785714285714286
